player_id,player,matches,minutes,distance_m,avg_m_per_min,avg_speed_kmh,top_speed_kmh
23104,Eric García,11,832.45,93275.0,112.05,6.72,33.3
6847,M. Rashford,11,630.63,68090.0,107.97,6.48,33.2
24123,R. Araújo,10,501.43,49528.0,98.77,5.93,32.8
53347,Alejandro Balde,8,556.54,61467.0,110.44,6.63,32.3
16062,Raphinha,7,592.14,64175.0,108.38,6.5,32.2
11630,J. Koundé,10,943.13,106142.0,112.54,6.75,31.9
797,A. Christensen,4,75.76,8301.0,109.57,6.57,31.9
12766,Ferrán Torres,10,405.82,42549.0,104.85,6.29,31.8
25738,Pedri,9,745.75,93639.0,125.56,7.53,31.4
154096,Fermín López,11,849.1,97638.0,114.99,6.9,31.2
68071,Gerard Martín,12,860.32,91284.0,106.1,6.37,31.2
639784,Lamine Yamal,10,943.1,94466.0,100.17,6.01,31.1
9106,R. Lewandowski,11,669.75,69831.0,104.26,6.26,30.7
673618,Pau Cubarsí,10,799.56,85880.0,107.41,6.44,30.5
5056,João Cancelo,4,354.66,37530.0,105.82,6.35,30.3
12378,F. de Jong,8,571.69,68771.0,120.29,7.22,30.1
751177,Marc Bernal,6,269.46,31742.0,117.8,7.07,30.1
12426,Dani Olmo,10,494.31,56950.0,115.21,6.91,29.8
73300,R. Bardghji,5,112.55,12729.0,113.1,6.79,28.8
54937,Gavi,2,134.65,16973.0,126.05,7.56,28.4
933091,Pedro Fernández,1,60.52,6836.0,112.95,6.78,27.8
69884,Marc Casadó,6,227.74,28197.0,123.81,7.43,27.2
891651,Xavi Espart,2,33.95,3589.0,105.71,6.34,26.8
